ai_adoption_rate,productivity_impact_score,displacement_risk_index,jobs_displaced_count,jobs_created_count,reskilling_investment_usd,avg_wage_change_pct,ai_tool_usage_hours_per_week,workforce_size,data_confidence_score,skill_category_name,skill_category_code,ai_replaceability_score,ai_augmentation_potential,median_reskilling_duration_months,typical_education_level,global_worker_share_pct,industry_name,industry_sector,automation_susceptibility,avg_ai_investment_pct_revenue,ai_adoption_stage,global_workforce_millions,primary_ai_use_case,year,quarter,year_quarter_label,period_start_date,is_pandemic_period,generative_ai_era,country_code,country_name,region,development_tier,gdp_per_capita_usd,digital_infrastructure_score,ai_policy_maturity,internet_penetration_pct,stem_graduates_per_100k
22.04,3.26,5.1,661,196,141716.92,2.21,9.2,38945,0.988,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2024,3,2024-Q3,2024-07-01,False,True,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0
11.96,5.7,6.06,7878,5838,30912.94,1.55,5.5,313989,0.499,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2023,2,2023-Q2,2023-04-01,False,True,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
26.95,6.39,6.7,2723,693,153741.64,-6.53,2.8,77842,0.559,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2022,2,2022-Q2,2022-04-01,False,False,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0
56.91,5.52,4.61,189,104,18152.29,1.27,6.2,9777,0.891,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,2024,3,2024-Q3,2024-07-01,False,True,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
22.85,5.2,2.71,111,73,9674.8,0.95,10.0,8100,0.865,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2023,1,2023-Q1,2023-01-01,False,True,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
23.31,8.07,6.4,1960,967,130927.7,0.59,0.5,30987,0.895,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Legal Services,Professional Services,56.8,3.75,Piloting,8.6,Contract review & legal research,2022,3,2022-Q3,2022-07-01,False,False,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0
41.82,3.22,3.24,5949,4990,21791.97,-8.02,0.0,203889,0.836,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Agriculture,Primary,58.7,1.47,Exploring,15.9,Crop monitoring & yield prediction,2023,3,2023-Q3,2023-07-01,False,True,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
59.86,3.24,3.44,434,117,631422.74,9.77,5.3,14713,0.736,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2024,1,2024-Q1,2024-01-01,False,True,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
62.5,7.2,2.79,3089,1628,321637.94,1.64,3.5,116168,0.772,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Agriculture,Primary,58.7,1.47,Exploring,15.9,Crop monitoring & yield prediction,2022,2,2022-Q2,2022-04-01,False,False,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0
0.5,5.38,4.37,304,100,58161.16,-1.13,2.3,15800,0.752,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2021,4,2021-Q4,2021-10-01,True,False,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0
17.83,5.06,3.99,1305,1160,23284.98,-3.77,0.0,35116,0.879,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2021,2,2021-Q2,2021-04-01,True,False,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
30.19,4.68,4.28,957,582,32176.34,3.65,1.1,24981,0.856,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Mining & Resources,Primary,61.3,4.97,Scaling,28.3,Autonomous extraction & exploration,2023,2,2023-Q2,2023-04-01,False,True,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
14.84,2.95,4.34,184,90,203263.15,-1.3,6.0,9981,0.941,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2021,2,2021-Q2,2021-04-01,True,False,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0
13.55,3.77,4.44,537,291,79170.91,3.36,1.7,18292,0.773,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2021,4,2021-Q4,2021-10-01,True,False,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0
26.25,3.2,4.02,1731,1457,312485.13,3.71,,112234,0.799,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2021,3,2021-Q3,2021-07-01,True,False,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0
13.87,6.4,5.16,155,68,52615.23,11.59,6.5,9000,0.828,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2023,4,2023-Q4,2023-10-01,False,True,JP,Japan,Asia-Pacific,Developed,27613361.71,69.8,Established,99.5,1723.0
0.5,4.99,2.72,1167,357,85988.04,2.5,4.7,110109,0.596,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Real Estate,Finance,73.3,1.4,Exploring,56.1,Property valuation & market analysis,2021,1,2021-Q1,2021-01-01,True,False,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
44.49,2.44,4.66,3649,832,15905.98,2.99,5.4,87789,0.593,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2022,4,2022-Q4,2022-10-01,False,True,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
22.94,7.03,4.44,1120,731,38251.08,-0.37,4.7,42485,0.74,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2022,3,2022-Q3,2022-07-01,False,False,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0
0.71,8.38,3.2,75,50,105643.48,0.27,1.3,4983,0.819,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2021,1,2021-Q1,2021-01-01,True,False,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0
32.9,1.14,4.27,808,713,128490.15,-0.75,8.2,36114,0.657,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Legal Services,Professional Services,56.8,3.75,Piloting,8.6,Contract review & legal research,2023,4,2023-Q4,2023-10-01,False,True,CH,Switzerland,Europe,Developed,35093239.12,66.1,Developing,66.7,1934.0
24.63,7.45,5.6,1226,454,49071.74,3.94,3.2,41040,0.863,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2024,2,2024-Q2,2024-04-01,False,True,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0
58.61,5.8,5.02,1492,726,653609.42,-0.55,10.5,41857,0.905,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2022,4,2022-Q4,2022-10-01,False,True,FR,France,Europe,Developed,21084279.93,82.4,Established,78.4,2239.0
15.24,3.27,3.74,87,26,548376.38,14.14,0.4,5370,0.893,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2021,3,2021-Q3,2021-07-01,True,False,JP,Japan,Asia-Pacific,Developed,27613361.71,69.8,Established,99.5,1723.0
32.28,2.7,1.11,527,309,99813.36,5.08,7.1,79530,0.791,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2024,3,2024-Q3,2024-07-01,False,True,BR,Brazil,Latin America,Emerging,12728373.53,50.6,Established,53.6,688.0
55.39,7.76,5.43,3114,1393,245472.48,-4.6,3.7,74459,0.729,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2024,4,2024-Q4,2024-10-01,False,True,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
39.43,5.66,6.47,1025,253,177267.02,1.51,3.9,23540,0.84,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2024,3,2024-Q3,2024-07-01,False,True,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0
0.5,3.71,3.67,213,101,527011.43,1.78,2.6,15946,0.597,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2021,3,2021-Q3,2021-07-01,True,False,KR,South Korea,Asia-Pacific,Developed,33377849.14,85.6,Developing,73.4,1640.0
18.2,6.88,5.15,498,386,125401.41,5.83,3.5,22900,0.774,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Transportation & Logistics,Industrial,41.9,3.4,Piloting,36.3,Route optimisation & autonomous vehicles,2021,4,2021-Q4,2021-10-01,True,False,ZA,South Africa,Africa,Emerging,4133385.53,48.0,Established,63.6,1393.0
18.15,3.13,3.47,756,450,32238.15,12.56,12.8,26754,0.919,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,2024,2,2024-Q2,2024-04-01,False,True,CH,Switzerland,Europe,Developed,35093239.12,66.1,Developing,66.7,1934.0
16.81,2.3,2.68,568,321,17736.22,5.35,0.0,43405,0.955,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2022,3,2022-Q3,2022-07-01,False,False,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0
16.03,8.56,6.22,566,198,1262532.25,-4.03,0.0,26689,0.963,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2021,3,2021-Q3,2021-07-01,True,False,TH,Thailand,Asia-Pacific,Emerging,6556439.11,54.8,Established,62.2,1901.0
8.89,4.15,2.78,192,73,312633.47,-0.7,1.8,12639,0.929,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2021,3,2021-Q3,2021-07-01,True,False,AE,United Arab Emirates,Middle East,Developed,39190676.05,72.9,Developing,89.6,2113.0
36.55,5.41,6.78,4023,929,195074.39,4.78,0.5,59467,0.899,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Real Estate,Finance,73.3,1.4,Exploring,56.1,Property valuation & market analysis,2021,2,2021-Q2,2021-04-01,True,False,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
6.01,5.67,4.85,265,112,220498.89,8.48,11.0,14030,0.83,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2022,4,2022-Q4,2022-10-01,False,True,AU,Australia,Asia-Pacific,Developed,32450639.81,88.5,Nascent,90.2,2139.0
12.69,5.16,1.08,874,457,146175.31,-1.76,4.3,115931,0.664,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Real Estate,Finance,73.3,1.4,Exploring,56.1,Property valuation & market analysis,2024,3,2024-Q3,2024-07-01,False,True,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
29.14,4.61,4.1,1139,967,229882.53,4.17,7.9,31615,0.85,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2022,3,2022-Q3,2022-07-01,False,False,AE,United Arab Emirates,Middle East,Developed,39190676.05,72.9,Developing,89.6,2113.0
40.68,6.23,3.76,5132,2809,277781.54,1.77,3.4,152107,0.439,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,2021,1,2021-Q1,2021-01-01,True,False,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0
12.48,1.24,4.72,4602,3676,21923.1,-2.84,2.7,100165,0.531,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2021,3,2021-Q3,2021-07-01,True,False,GB,United Kingdom,Europe,Developed,17661249.01,79.5,Developing,84.8,1792.0
55.26,0.0,3.5,264,207,166898.35,4.04,12.9,8813,0.948,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,2023,2,2023-Q2,2023-04-01,False,True,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
37.69,2.37,4.66,3594,1258,84039.98,4.84,0.0,115955,0.713,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2023,3,2023-Q3,2023-07-01,False,True,NL,Netherlands,Europe,Developed,36126754.52,72.4,Established,88.1,2040.0
